backend,design_id,raw_backbone_pdb,raw_source_structure,trb_path,raw_backbone_motif_rmsd,motif_atoms_compared,motif_atoms_missing,motif_residue_count,motif_residues_mapped,motif_residue_mapping_status,local_support_residue_count,backbone_length,raw_backbone_clash_count_around_motif,output_normalization_status,normalization_metadata
foundry_rfd3,design_10,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/rfdiffusion_outputs/design_10.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/foundry_rfd3/raw_outputs/input_motif_scaffold_5_model_0.cif.gz,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/rfdiffusion_outputs/design_10.trb,0.0110098,76,0,19,19,complete,50,78,1,foundry_normalized,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/rfdiffusion_outputs/design_10.foundry_metadata.json
foundry_rfd3,design_11,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/rfdiffusion_outputs/design_11.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/foundry_rfd3/raw_outputs/input_motif_scaffold_5_model_1.cif.gz,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/rfdiffusion_outputs/design_11.trb,0.0110098,76,0,19,19,complete,50,78,1,foundry_normalized,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/rfdiffusion_outputs/design_11.foundry_metadata.json
foundry_rfd3,design_12,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/rfdiffusion_outputs/design_12.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/foundry_rfd3/raw_outputs/input_motif_scaffold_6_model_0.cif.gz,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/rfdiffusion_outputs/design_12.trb,0.0110098,76,0,19,19,complete,41,61,0,foundry_normalized,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/rfdiffusion_outputs/design_12.foundry_metadata.json
foundry_rfd3,design_13,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/rfdiffusion_outputs/design_13.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/foundry_rfd3/raw_outputs/input_motif_scaffold_6_model_1.cif.gz,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/rfdiffusion_outputs/design_13.trb,0.0110098,76,0,19,19,complete,39,61,0,foundry_normalized,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/rfdiffusion_outputs/design_13.foundry_metadata.json
foundry_rfd3,design_14,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/rfdiffusion_outputs/design_14.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/foundry_rfd3/raw_outputs/input_motif_scaffold_7_model_0.cif.gz,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/rfdiffusion_outputs/design_14.trb,0.0110098,76,0,19,19,complete,46,73,0,foundry_normalized,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/rfdiffusion_outputs/design_14.foundry_metadata.json
foundry_rfd3,design_15,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/rfdiffusion_outputs/design_15.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/foundry_rfd3/raw_outputs/input_motif_scaffold_7_model_1.cif.gz,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/rfdiffusion_outputs/design_15.trb,0.0110098,76,0,19,19,complete,52,73,1,foundry_normalized,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/rfdiffusion_outputs/design_15.foundry_metadata.json
foundry_rfd3,design_16,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/rfdiffusion_outputs/design_16.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/foundry_rfd3/raw_outputs/input_motif_scaffold_8_model_0.cif.gz,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/rfdiffusion_outputs/design_16.trb,0.0110098,76,0,19,19,complete,43,68,0,foundry_normalized,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/rfdiffusion_outputs/design_16.foundry_metadata.json
foundry_rfd3,design_17,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/rfdiffusion_outputs/design_17.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/foundry_rfd3/raw_outputs/input_motif_scaffold_8_model_1.cif.gz,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/rfdiffusion_outputs/design_17.trb,0.0110098,76,0,19,19,complete,46,68,0,foundry_normalized,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/rfdiffusion_outputs/design_17.foundry_metadata.json
foundry_rfd3,design_18,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/rfdiffusion_outputs/design_18.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/foundry_rfd3/raw_outputs/input_motif_scaffold_9_model_0.cif.gz,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/rfdiffusion_outputs/design_18.trb,0.0110098,76,0,19,19,complete,51,74,0,foundry_normalized,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/rfdiffusion_outputs/design_18.foundry_metadata.json
foundry_rfd3,design_19,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/rfdiffusion_outputs/design_19.pdb,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/foundry_rfd3/raw_outputs/input_motif_scaffold_9_model_1.cif.gz,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/rfdiffusion_outputs/design_19.trb,0.0110098,76,0,19,19,complete,51,74,0,foundry_normalized,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c01_a163_181_bkbn_10_40/rfdiffusion_outputs/design_19.foundry_metadata.json
