design_id,predictor,motif_local_cluster_id,motif_rmsd_to_reference,local_support_residue_count,motif_atoms_missing,representative_design,model_pdb
design_1,consensus,M1,1.71126,45,0,design_1,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c02_a163_181_all_10_40/array_work/design_1/predictions_flat/design_1.pdb
design_14,consensus,M2,0.696932,41,0,design_14,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c02_a163_181_all_10_40/array_work/design_14/predictions_flat/design_14.pdb
design_16,consensus,M3,0.866571,58,0,design_16,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c02_a163_181_all_10_40/array_work/design_16/predictions_flat/design_16.pdb
design_2,consensus,M4,0.760258,57,0,design_2,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c02_a163_181_all_10_40/array_work/design_2/predictions_flat/design_2.pdb
design_9,consensus,M5,1.88365,46,0,design_1,/public/home/yinyifan/protein_design/examples/rsv_f_siteV_hRSV90_reproduction_5TPN_20260629/rfd3_parameter_sweep/conditions/rfd3_c02_a163_181_all_10_40/array_work/design_9/predictions_flat/design_9.pdb
