backend,num_requested_backbones,num_backbones_generated,backbone_generation_success_rate,backbone_walltime,gpu_minutes,num_mpnn_sequences,num_af3_predictions,num_af3_pass,af3_pass_rate,num_rf3_confirmed,rf3_confirmation_rate,mean_AF3_motif_RMSD,median_AF3_motif_RMSD,mean_RF3_motif_RMSD,median_RF3_motif_RMSD,mean_pLDDT,mean_PAE,clash_fail_rate,motif_atoms_missing_fail_rate,num_global_fold_clusters,num_motif_local_clusters,num_sequence_clusters,top_candidate_design_ids,success_per_gpu_hour
rfdiffusion_v1,20,20,1,00:09:34,52.733,100,20,19,0.95,5,1,1.2894,0.995017,0.788805,0.815762,85.0508,3.98359,0.1,0,16,19,19,design_9;design_7;design_15;design_4;design_18;design_14;design_16;design_10;design_11;design_19,21.6183
foundry_rfd3,20,20,1,00:11:45,54.350,100,20,7,0.35,5,1,3.73145,2.72062,1.72075,1.67669,73.0456,9.36123,0.05,0,7,7,7,design_14;design_6;design_4;design_5;design_0;design_19;design_3;design_16;design_8;design_7,7.72769
