backend,run_dir,backbone_pdbs,expected_backbones,backbone_success_rate,proteinmpnn_fastas,proteinmpnn_success_rate,prediction_pdbs,predicted_backbones,af3_prediction_success_rate,filter_summaries,filter_rows,filter_pass_rows,filter_pass_rate,top_design_id,top_backbone_id,top_pass,plddt_mean_n,plddt_mean_mean,plddt_mean_median,plddt_mean_min,plddt_mean_max,top_plddt_mean,pae_mean_n,pae_mean_mean,pae_mean_median,pae_mean_min,pae_mean_max,top_pae_mean,motif_rmsd_n,motif_rmsd_mean,motif_rmsd_median,motif_rmsd_min,motif_rmsd_max,top_motif_rmsd,clash_count_n,clash_count_mean,clash_count_median,clash_count_min,clash_count_max,top_clash_count
rfdiffusion_v1,/public/home/yinyifan/protein_design/examples/epitope_scaffold/backend_comparison_20260628_195056/rfdiffusion_v1,10,10,1.0,10,1.0,10,10,1.0,10,10,9,0.9,design_3,design_3,PASS,10,83.68946843578817,83.01711866850027,76.37475884244373,89.92553064275037,89.92553064275037,10,4.3981534646127685,4.716351323164144,2.970339100346021,5.511895745154823,2.970339100346021,10,1.2157343136625556,0.8841244701420438,0.7057597786407984,2.7614998004576865,0.78279834403897,10,0.1,0.0,0.0,1.0,0
rfdiffusion_all_atom_legacy,/public/home/yinyifan/protein_design/examples/epitope_scaffold/backend_comparison_20260628_195056/rfdiffusion_all_atom_legacy,10,10,1.0,10,1.0,10,10,1.0,10,10,0,0.0,design_8,design_8,FAIL,10,88.85085794371047,89.97027011900553,80.89021505376344,94.21723529411764,94.21723529411764,10,7.0484086308207425,7.120005200455149,3.292198347107438,10.310297309027778,5.048291782086796,10,6.567284087183453,7.582212887727755,3.412053062864838,7.749204817626373,7.683394811233786,10,0.0,0.0,0.0,0.0,0
